day,9-10,10-11,11-11:30,11:30-12:30,12:30-1:30,1:30-2:10,2:10-3:10,3:10-4:10
monday,"(ds,kr,m105)","(ds,kr,m105)",,"(aiml,sr,m209)","(aiml,sr,m209)",,"(pe1,db,m105)","(pe2,ps,m301)"
tuesday,"(crypto,srh,m105)","(crypto,srh,m105)",,"(ss,prp,m105)","(ss,prp,m105)",,"(op,op,m105)","(op,op,m105)"
wednesday,"(emp,emp,m105)","(emp,emp,m105)",,"(ds,kr,m105)","(ds,kr,m105)",,,
thursday,"(crypto,srh,m105)","(ss,prp,m105)",,"(aiml,sr,m105)","(ss,prp,m105)",,"(op,op,m105)","(op,op,m105)"
friday,"(aiml,sr,m209)","(aiml,sr,m209)",,"
(crypto,srh,m104)","
(crypto,srh,m104)",,"(pe1,db,m105)","(pe1,ps,m301)"
